1569423660,164.735,164.735,164.735,164.735,7.12806,3
1569429720,165.832,165.832,165.832,165.832,1,1
1569434640,166.563,166.563,166.563,166.563,0.12,1
1569459900,167.633,167.633,167.633,167.633,0.16362122,1
1569470400,167.13,167.13,167.13,167.13,0.2,1
1569485520,168.933,168.933,168.655,168.655,5.87488,2
1569485700,168.78,168.78,168.778,168.778,5.86943,2
1569486000,168.701,168.701,168.701,168.701,1.286,1
1569488040,170.403,170.404,170.403,170.404,1.224,2
1569493020,167.983,167.983,167.983,167.983,0.13586388,1
1569493260,167.983,167.983,167.983,167.983,0.05958942,1
1569493740,168.326,168.326,168.326,168.326,0.1,1
1569494880,168.821,168.821,168.821,168.821,4.71189858,2
1569497400,168.209,168.209,168.209,168.209,3.19943149,1
1569500100,167.851,167.96,167.639,167.774,21.74630742,16
1569500820,169.08,169.08,169.08,169.08,0.13986487,1
1569503340,167.8,167.8,167.8,167.8,5.41766533,2
1569504060,168.999,168.999,168.999,168.999,0.99571072,2
1569504720,166.0,166.0,163.576,165.22,1.83480762,5
1569504780,165.22,165.22,162.247,162.247,0.36320113,2
1569504840,164.474,164.474,164.474,164.474,0.067,1
1569504900,164.863,165.367,164.863,165.367,1.23646447,4
1569505020,165.175,165.175,165.175,165.175,0.45514037,1
1569505080,166.0,166.0,166.0,166.0,0.05100701,1
1569505860,165.176,165.176,165.176,165.176,1.26261904,1
1569506400,165.176,166.0,165.176,166.0,0.06719355,2
1569507180,165.891,165.891,165.891,165.891,1.14176989,1
1569513120,161.571,161.571,161.571,161.571,6.11560417,3
1569515460,153.421,153.421,151.223,151.223,4.10386047,4
1569515760,155.41,155.41,155.41,155.41,0.12564097,1
1569519480,157.486,157.486,157.471,157.471,6.279,2
1569536880,162.74,162.74,162.74,162.74,0.74865011,1
1569555000,164.889,165.216,164.889,165.216,3E+1,5
1569565920,164.392,164.392,163.032,163.032,5.13698799,2
1569569280,164.059,164.059,164.059,164.059,3.4,1
1569570300,166.391,166.391,166.391,166.391,0.03146147,1
1569571980,164.887,164.887,164.887,164.887,0.06070831,1
1569573300,164.285,164.285,163.637,163.637,18.6597,5
1569580200,164.388,164.388,164.388,164.388,1.18118845,1
1569595500,165.008,165.008,165.008,165.008,0.22969466,1
1569599640,162.181,162.181,162.181,162.181,0.12344245,1
1569600000,162.51,162.51,162.51,162.51,0.3907,1
1569602400,166.224,166.224,166.224,166.224,0.76721703,3
1569606420,167.194,167.195,167.194,167.195,3.33623,4
1569618000,168.953,168.953,168.953,168.953,0.59247305,1
1569620700,174.695,174.695,174.695,174.695,0.0202,1
1569620820,174.695,174.695,174.695,174.695,0.0008,1
1569621840,173.895,173.895,173.895,173.895,0.05750596,1
1569624120,173.226,173.226,173.226,173.226,0.32703653,1
1569629040,174.523,174.912,174.523,174.912,3.41840442,2
1569665220,174.0,174.0,174.0,174.0,0.30267617,2
1569673560,170.364,170.364,169.977,169.977,3,3
1569674520,170.544,170.544,170.544,170.544,0.105,1
1569675420,171.0,171.0,171.0,171.0,1,1
1569683220,169.05,169.05,169.05,169.05,1.46838061,1
1569683280,169.051,169.051,168.875,168.875,2.83388048,2
1569683520,168.323,168.323,168.323,168.323,0.18624643,1
1569687060,171.815,171.815,171.815,171.815,1.43210891,1
1569691080,172.613,172.613,172.613,172.613,0.028,1
1569691320,171.383,171.383,171.383,171.383,0.60195262,3
1569693780,173.526,173.526,173.526,173.526,1.46449159,1
1569741360,168.737,168.737,168.737,168.737,1.2,1
1569749040,168.737,168.737,168.6,168.6,3.4,3
1569757080,168.924,169.136,168.924,169.136,1.36,2
1569759600,166.643,166.646,166.643,166.646,1.34193615,2
1569760740,165.727,165.727,165.727,165.727,0.09082172,2
1569788700,167.85,167.85,167.85,167.85,0.02870029,1
1569825180,164.886,164.886,164.886,164.886,0.3,1
1569826680,164.886,164.886,164.886,164.886,0.85943033,2
1569827160,164.886,164.886,164.886,164.886,0.54056967,1
1569837000,170.0,170.0,170.0,170.0,0.05,1
1569852840,172.95,172.95,172.95,172.95,0.10218836,1
1569855180,174.311,175.682,174.311,175.682,2.8485775,2
1569859440,179.084,179.084,179.084,179.084,1.91288,3
1569865740,175.759,175.759,174.698,174.698,39.1958901,11
1569870840,176.211,176.211,176.211,176.211,0.0738,3
1569903540,182.355,182.632,182.355,182.632,5.45086,2
1569909180,180.191,180.191,180.191,180.191,1,1
1569909480,180.192,180.192,180.191,180.191,4.80629704,2
1569909660,179.436,179.436,179.0,179.0,93.99100515,30
1569912600,179.258,179.258,178.177,178.177,29,6
1569951420,176.489,176.489,176.306,176.306,9,3
1569951600,175.464,175.464,175.464,175.464,9.81360687,4
1569957420,175.022,175.022,175.022,175.022,0.447,1
1569967020,174.892,174.892,174.892,174.892,0.2889016,1
1569967080,174.981,174.981,174.981,174.981,0.02873563,1
1569977100,175.15,175.15,175.15,175.15,1.19663846,4
1569977220,175.4,175.4,175.4,175.4,1.1921,1
1569985740,175.417,175.417,175.417,175.417,1.18862014,1
1569996060,173.049,173.049,173.049,173.049,0.3,1
1570009500,174.757,174.757,174.757,174.757,0.5,1
1570022940,175.527,175.527,175.527,175.527,1,1
1570029960,175.486,176.007,175.486,176.007,22.68520529,5
1570039320,175.8,175.8,175.8,175.8,1.19783619,1
1570040640,175.8,175.8,175.8,175.8,1.19783619,1
1570040700,175.8,175.8,175.8,175.8,0.90432762,1
1570042920,175.241,175.241,175.24,175.24,5.9,2
1570063440,178.318,178.318,178.135,178.135,6.01505769,13
1570063500,178.172,180.0,178.142,180.0,10.73316422,16
