time,open,high,low,close,MA,MA,MA,MA,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA
2016-05-23T00:00:00Z,13.91,13.91,13.61,13.61,NaN,NaN,NaN,NaN,13.765,13.87,13.66,1,NaN
2016-05-24T00:00:00Z,13.68,13.74,12,12.77,NaN,NaN,NaN,NaN,13.631458333333335,13.724305555555556,12.530555555555555,2754,NaN
2016-05-25T00:00:00Z,13,13.18,11.93,12.61,NaN,NaN,NaN,NaN,12.90625,13.1675,12.26,9696,NaN
2016-05-26T00:00:00Z,12.61,12.95,12.15,12.47,NaN,NaN,NaN,NaN,12.90625,12.975,12.15,2993,NaN
2016-05-27T00:00:00Z,12.47,12.47,10.25,10.98,NaN,NaN,NaN,NaN,12.207083333333333,13.1475,11.3175,19329,NaN
2016-05-28T00:00:00Z,11.3,12.44,10.7,12.02,NaN,NaN,NaN,NaN,12.207083333333333,12.486666666666666,10.86,15673,NaN
2016-05-29T00:00:00Z,12.02,12.49,11.7,12.34,NaN,NaN,NaN,NaN,12.207083333333333,12.486666666666666,10.910833333333333,3385,NaN
2016-05-30T00:00:00Z,12.35,12.88,12,12.88,NaN,NaN,NaN,NaN,12.207083333333333,12.842500000000001,11.215833333333332,4124,NaN
2016-05-31T00:00:00Z,12.84,14.24,12.37,14.16,NaN,NaN,NaN,NaN,12.383541666666666,12.91,11.136666666666667,5807,NaN
2016-06-01T00:00:00Z,14.15,14.45,13.5,13.93,NaN,NaN,NaN,NaN,12.379166666666666,12.875,10.716666666666667,10389,NaN
2016-06-02T00:00:00Z,13.93,14.18,13.76,14.03,NaN,NaN,NaN,NaN,12.379166666666666,13.166666666666666,10.483333333333333,8048,NaN
2016-06-03T00:00:00Z,14.03,14.12,13.49,13.98,NaN,NaN,NaN,NaN,13.837499999999999,14.45,12,13004,NaN
2016-06-04T00:00:00Z,13.98,14.03,13.56,13.95,NaN,NaN,NaN,NaN,13.837499999999999,14.45,12.058333333333334,6250,NaN
2016-06-05T00:00:00Z,13.97,14.06,13.8,14.04,NaN,NaN,NaN,NaN,13.837499999999999,14.45,12.116666666666667,1953,NaN
2016-06-06T00:00:00Z,14.02,14.3,13.83,14.22,NaN,NaN,NaN,NaN,13.895833333333332,14.45,12.116666666666667,5142,NaN
2016-06-07T00:00:00Z,14.21,14.69,13.97,14.52,NaN,NaN,NaN,NaN,13.980833333333333,14.69,12.223333333333333,13016,NaN
2016-06-08T00:00:00Z,14.53,14.87,14.4,14.64,NaN,NaN,NaN,NaN,14.00375,14.87,12.303333333333333,12617,NaN
2016-06-09T00:00:00Z,14.64,14.85,14.55,14.71,NaN,NaN,NaN,NaN,14.00375,14.87,12.3675,8224,NaN
2016-06-10T00:00:00Z,14.61,14.74,13.76,13.91,NaN,NaN,NaN,NaN,14.00375,14.87,12.559999999999999,17340,NaN
2016-06-11T00:00:00Z,13.93,14.29,13.86,14.1,13.493500000000001,NaN,NaN,NaN,14.00375,14.87,12.624166666666666,7581,8366.3
2016-06-12T00:00:00Z,14.14,15.91,13.92,15.58,13.692214285714286,NaN,NaN,NaN,13.984027777777778,15.91,13.00138888888889,20332,9382.85
2016-06-13T00:00:00Z,15.91,17.93,15.49,17.89,14.092003401360545,NaN,NaN,NaN,14.036666666666665,17.61,13.45,24121,10451.2
2016-06-14T00:00:00Z,17.86,19.08,16.96,18.79,14.539431648850016,NaN,NaN,NaN,13.99048611111111,18.221527777777776,13.438611111111111,35326,11732.7
2016-06-15T00:00:00Z,18.79,18.81,17.89,18.42,14.909009587054776,NaN,NaN,NaN,13.99048611111111,18.344166666666666,13.438611111111111,13614,12263.75
2016-06-16T00:00:00Z,18.51,21.35,18.5,20.99,15.488151531144798,NaN,NaN,NaN,14.027083333333334,19.0375,13.4875,34245,13009.55
2016-06-17T00:00:00Z,20.99,22,13.75,15.65,15.50356567103577,NaN,NaN,NaN,13.921875,19.225694444444443,13.51388888888889,123080,18379.9
2016-06-18T00:00:00Z,15.64,15.74,10,11.64,15.13560703569903,NaN,NaN,NaN,14.083333333333332,20.166666666666664,13.5,80846,22252.95
2016-06-19T00:00:00Z,11.55,13.4,10.72,12.35,14.870311127537217,NaN,NaN,NaN,14.083333333333332,21,13.5,28839,23488.7
2016-06-20T00:00:00Z,12.35,12.74,10.8,11.81,14.578852924914624,NaN,NaN,NaN,14.083333333333332,21.333333333333332,13,34635,24930.1
2016-06-21T00:00:00Z,11.44,13.89,11.2,13.89,14.513247884446566,NaN,NaN,NaN,13.916666666666666,17,10.666666666666666,32070,26014.15
2016-06-22T00:00:00Z,13.3,15.89,13.07,13.18,14.386271895451655,NaN,NaN,NaN,13.916666666666666,16.166666666666664,10.666666666666666,68057,29014.6
2016-06-23T00:00:00Z,13.18,14.5,12.68,13.81,14.331388857789593,NaN,NaN,NaN,13.916666666666666,15.833333333333332,10.666666666666666,34445,30086.65
2016-06-24T00:00:00Z,13.98,14.8,13.25,14.55,14.352208966571537,NaN,NaN,NaN,13.916666666666666,15.833333333333332,11,32283,31388.3
2016-06-25T00:00:00Z,14.55,14.74,14,14.37,14.353903350707581,NaN,NaN,NaN,14.083333333333332,15.833333333333332,11,10305,31805.9
2016-06-26T00:00:00Z,14.39,14.49,13.6,14.02,14.322103031592574,NaN,NaN,NaN,14.083333333333332,15.833333333333332,11,7488,31923.2
2016-06-27T00:00:00Z,14,14.59,13.85,14.1,14.30095036191709,NaN,NaN,NaN,14.083333333333332,15.833333333333332,11,10082,31776.5
2016-06-28T00:00:00Z,14.06,14.25,11.52,12.23,14.103716994115462,NaN,NaN,NaN,14.083333333333332,15.666666666666666,11.166666666666666,42382,33264.75
2016-06-29T00:00:00Z,12.16,13.13,11.62,12.74,13.973839185152086,NaN,NaN,NaN,14.083333333333332,15.666666666666666,11.166666666666666,26010,34154.05
2016-06-30T00:00:00Z,12.7,13.06,12.19,12.49,13.832521167518554,NaN,NaN,NaN,14.083333333333332,15.5,11.166666666666666,12663,33920.2
2016-07-01T00:00:00Z,12.48,12.54,11.8,12.34,13.690376294421549,NaN,NaN,NaN,14.083333333333332,15.5,11.166666666666666,19198,34501.05
2016-07-02T00:00:00Z,12.28,12.45,12,12.09,13.537959504476639,NaN,NaN,NaN,14.083333333333332,15.5,11.166666666666666,11823,34075.6
2016-07-03T00:00:00Z,12.16,12.16,11.65,12.02,13.393391932621721,NaN,NaN,NaN,14.083333333333332,15.333333333333332,11.166666666666666,11726,33455.85
2016-07-04T00:00:00Z,11.94,11.99,11.41,11.48,13.211164129514891,NaN,NaN,NaN,14.083333333333332,15.333333333333332,11.166666666666666,5533,31966.2
2016-07-05T00:00:00Z,11.45,11.48,9.31,10.6,12.962481831465855,NaN,NaN,NaN,13.980625,15.126249999999999,10.72,34516,33011.3
2016-07-06T00:00:00Z,10.6,11,10.24,10.61,12.73843594275482,NaN,NaN,NaN,13.980625,15.126249999999999,10.72,14283,32013.2
2016-07-07T00:00:00Z,10.6,10.7,9.75,10.08,12.485251567254362,NaN,NaN,NaN,13.980625,14.95,10.3675,21332,26925.8
2016-07-08T00:00:00Z,10.08,11.8,10.05,11.43,12.384751417992042,NaN,NaN,NaN,13.980625,14.95,10.3675,27624,24264.7
2016-07-09T00:00:00Z,11.39,11.57,10.68,11.01,12.25382271151661,NaN,NaN,NaN,13.980625,14.95,10.3675,9084,23276.95
2016-07-10T00:00:00Z,11.02,11.3,10.9,11.02,12.136315786610266,NaN,NaN,NaN,13.980625,14.77375,10.3675,9663,22028.35
2016-07-11T00:00:00Z,11,11.16,10.11,10.72,12.001428568837861,NaN,NaN,13.435400000000001,13.980625,14.77375,10.3675,11105,20980.1
2016-07-12T00:00:00Z,10.65,10.98,10.5,10.57,11.865102038472351,NaN,NaN,13.323031372549021,13.980625,14.77375,10.3675,13925,18273.5
2016-07-13T00:00:00Z,10.58,10.65,10.49,10.49,11.734139939570222,NaN,NaN,13.211932103037295,13.980625,14.77375,10.3675,5528,16827.65
2016-07-14T00:00:00Z,10.5,11.78,10.33,11.62,11.723269469134962,NaN,NaN,13.149503393114264,13.980625,14.77375,10.3675,25197,16473.35
2016-07-15T00:00:00Z,11.56,12.75,11.4,11.99,11.748672376836394,NaN,NaN,13.104032671815665,13.980625,14.77375,10.543750000000001,24305,17173.35
2016-07-16T00:00:00Z,11.98,12.4,11.79,11.8,11.753560721899595,NaN,NaN,13.052894135666032,13.980625,14.77375,10.543750000000001,7836,17190.75
2016-07-17T00:00:00Z,11.81,11.92,11.02,11.33,11.713221605528204,NaN,NaN,12.985329659757559,13.980625,14.77375,10.543750000000001,12643,17318.8
2016-07-18T00:00:00Z,11.27,11.93,11,11.05,11.650057643096947,NaN,NaN,12.909434378982752,13.980625,14.77375,10.543750000000001,14256,15912.5
2016-07-19T00:00:00Z,11.08,11.98,11.07,11.75,11.659575962802,NaN,NaN,12.863966364120683,13.980625,14.77375,10.543750000000001,7850,15004.5
2016-07-20T00:00:00Z,11.7,13,11.22,12.5,11.739616347297048,NaN,NaN,12.849693173370852,13.980625,14.77375,10.72,39981,16370.4
2016-07-21T00:00:00Z,12.53,13.09,12.1,12.76,11.836795742792567,NaN,NaN,12.846175794022976,12.218125,14.42125,10.3675,72258,19023.4
2016-07-22T00:00:00Z,12.76,15.11,12.73,14.83,12.12186281490756,NaN,NaN,12.92397282170835,13.980625,14.77375,10.89625,199026,28383.55
2016-07-23T00:00:00Z,14.99,15.39,14,14.52,12.350256832535411,NaN,NaN,12.986562122817826,14.156875000000001,15.126249999999999,11.248750000000001,115668,33580.65
2016-07-24T00:00:00Z,14.52,14.57,12.05,12.78,12.391184753246325,NaN,NaN,12.978461647413205,14.156875000000001,15.126249999999999,11.60125,140552,40331.6
2016-07-25T00:00:00Z,12.71,14.01,12.61,13.91,12.535833824365723,NaN,NaN,13.014992563200922,13.980625,15.126249999999999,11.60125,101996,43705.6
2016-07-26T00:00:00Z,13.93,13.95,11.88,12,12.484802031568988,NaN,NaN,12.975188933271474,13.980625,14.95,11.7775,165972,51290.05
2016-07-27T00:00:00Z,12,13.4,11.75,13.1,12.543392314276703,NaN,NaN,12.980083484907887,12.923125,14.95,11.7775,109892,55718.05
2016-07-28T00:00:00Z,13.1,13.14,12.53,12.93,12.580212093869399,NaN,NaN,12.978119426676205,12.923125,14.77375,11.7775,65895,57631.6
2016-07-29T00:00:00Z,12.93,12.95,12.57,12.84,12.60495379921517,NaN,NaN,12.972702978571256,12.746875000000001,14.77375,11.7775,53554,59855.1
2016-07-30T00:00:00Z,12.84,12.88,12.49,12.49,12.594005818337536,NaN,NaN,12.953773449999835,12.746875000000001,14.77375,11.7775,38705,61307.2
2016-07-31T00:00:00Z,12.49,12.67,11.61,11.99,12.536481454686342,NaN,NaN,12.91597841274494,12.746875000000001,14.5975,11.7775,57172,63610.55
2016-08-01T00:00:00Z,11.98,12.12,10.8,10.95,12.385387982811451,NaN,NaN,12.838881220088275,12.746875000000001,14.5975,11.60125,91878,67508.2
